種類,出現時間,名前,移動パターン,X座標,Y座標,HP,スコア,アイテム
E,2,normal,normal,1800,400,30,300,can
E,3,elite,normal,1800,600,30,300,paper
E,4,normal,normal,1800,500,30,300,branch
E,5,normal,normal,1800,300,30,300,bag
E,6,normal,normal,1800,400,30,300,light_bulb
E,7,normal,normal,1800,600,30,300,umbrella
E,8,normal,normal,1800,500,30,300,glass
E,9,normal,normal,1800,300,30,300,bag
E,10,normal,normal,1800,600,30,300,battery
E,11,normal,normal,1800,500,30,300,banana
E,12,normal,normal,1800,300,30,300,flower_pot
E,13,normal,normal,1800,400,30,300,can
E,14,elite,normal,1800,600,30,300,paper
E,15,normal,normal,1800,500,30,300,branch
E,16,normal,normal,1800,300,30,300,bag
E,17,normal,normal,1800,400,30,300,light_bulb
E,18,normal,normal,1800,600,30,300,umbrella
E,19,normal,normal,1800,500,30,300,glass
E,20,normal,normal,1800,300,30,300,bag
E,21,normal,normal,1800,600,30,300,battery
E,22,normal,normal,1800,500,30,300,banana
E,23,normal,normal,1800,300,30,300,flower_pot
