種類,出現時間,名前,移動パターン,X座標,Y座標,HP,スコア,アイテム
I,2,boots,,1920,575,,,
I,3,boots,,1920,300,,,
E,7,rumba_marine,curve,1920,500,50,100,no
E,7,rumba_marine,curve,1920,600,50,100,no
E,7,rumba_marine,curve,1920,700,50,100,no
E,8,rumba_marine,curve,1920,150,50,100,no
E,8,rumba_marine,curve,1920,250,50,100,no
E,8,rumba_marine,curve,1920,350,50,100,no
E,9,rumba_marine,curve,1920,500,50,100,no
E,9,rumba_marine,curve,1920,600,50,100,no
E,9,rumba_marine,curve,1920,700,50,100,no
E,10,rumba_marine,curve,1920,150,50,100,no
E,10,rumba_marine,curve,1920,250,50,100,no
E,10,rumba_marine,curve,1920,350,50,100,no
E,11,rumba_marine,curve,1920,500,50,100,no
E,11,rumba_marine,curve,1920,600,50,100,no
E,11,rumba_marine,curve,1920,700,50,100,no
E,12,rumba_marine,curve,1920,150,50,100,no
E,12,rumba_marine,curve,1920,250,50,100,no
E,12,rumba_marine,curve,1920,350,50,100,no
E,13,rumba_marine,curve,1920,500,50,100,no
E,13,rumba_marine,curve,1920,600,50,100,no
E,13,rumba_marine,curve,1920,700,50,100,no
E,14,rumba_marine,curve,1920,150,50,100,no
E,14,rumba_marine,curve,1920,250,50,100,no
E,14,rumba_marine,curve,1920,350,50,100,no
E,15,rumba_marine,curve,1920,500,50,100,no
E,15,rumba_marine,curve,1920,600,50,100,no
E,15,rumba_marine,curve,1920,700,50,100,no
E,16,rumba_marine,curve,1920,150,50,100,no
E,16,rumba_marine,curve,1920,250,50,100,no
E,16,rumba_marine,curve,1920,350,50,100,no
E,17,rumba_marine,curve,1920,500,50,100,no
E,17,rumba_marine_elite,curve,1920,600,50,100,boots
E,17,rumba_marine,curve,1920,700,50,100,no
E,18,rumba_marine,curve,1920,150,50,100,no
E,18,rumba_marine_elite,curve,1920,250,50,100,boots
E,18,rumba_marine,curve,1920,350,50,100,no
E,21,rumba_marine_big,slow_shot_three,1920,267,150,500,glass
E,23,rumba_marine_big,slow_shot_three,1920,667,150,500,glass
E,25,rumba_marine_big,slow_shot_three,1920,167,150,500,glass
E,27,rumba_marine_big,slow_shot_three,1920,767,150,500,glass
E,29,rumba_marine_big,slow_shot_three,1920,267,150,500,glass
E,29,rumba_marine_big,slow_shot_three,1920,667,150,500,glass
E,31,rumba_marine_big,slow_shot_three,1920,167,150,500,glass
E,31,rumba_marine_big,slow_shot_three,1920,767,150,500,glass
E,31,rumba_marine_big,slow_shot_three,1920,467,150,500,glass
I,38,beer_bottle,,1920,575,,,
I,38,beer_bottle,,1920,300,,,
E,40,rumba_track,track,1920,267,100,100,no
E,40,rumba_track,track,1920,467,100,100,no
E,40,rumba_track,track,1920,667,100,100,no
E,44,rumba_track,track,1920,267,100,100,no
E,44.5,rumba_track,track,1920,367,100,100,no
E,45,rumba_track,track,1920,467,100,100,no
E,44.5,rumba_track,track,1920,567,100,100,no
E,44,rumba_track,track,1920,676,100,100,no
E,45,rumba_track,track,1920,167,100,100,no
E,45.5,rumba_track,track,1920,267,100,100,no
E,46,rumba_track,track,1920,367,100,100,no
E,46.5,rumba_track,track,1920,467,100,100,no
E,46,rumba_track,track,1920,567,100,100,no
E,45.5,rumba_track,track,1920,667,100,100,no
E,45,rumba_track,track,1920,767,100,100,no
E,47,rumba_marine,curve,1920,500,50,100,no
E,47,rumba_marine,curve,1920,600,50,100,no
E,47,rumba_marine,curve,1920,700,50,100,no
E,48,rumba_marine,curve,1920,150,50,100,no
E,48,rumba_marine,curve,1920,250,50,100,no
E,48,rumba_marine,curve,1920,350,50,100,no
E,49,rumba_marine,curve,1920,500,50,100,no
E,49,rumba_marine,curve,1920,600,50,100,no
E,49,rumba_marine,curve,1920,700,50,100,no
E,50,rumba_marine_big,slow_shot_three,1920,267,150,500,boots
E,50,rumba_marine_big,slow_shot_three,1920,667,150,500,boots
E,50,rumba_marine_big,slow_shot_three,1920,467,150,500,boots
E,55,rumba_bomb,bomb,1920,467,500,500,no
E,56,rumba_bomb,bomb_2,1920,267,500,500,no
E,57,rumba_bomb,bomb_3,1920,667,500,500,no
E,60,rumba_bomb,bomb,1920,467,500,500,no
E,61,rumba_bomb,bomb_2,1920,667,500,500,no
E,62,rumba_bomb,bomb_3,1920,267,500,500,no
E,63,rumba_bomb,bomb,1920,467,500,500,no
E,64,rumba_bomb,bomb_2,1920,267,500,500,no
E,65,rumba_bomb,bomb_3,1920,667,500,500,no
E,71,rumba_red,boss_2,1920,467,1800,15000,no
